request_id,source,input_mode,hr_utterance,system_context,intents,domains,workflow_ids,slots_json,missing_slots,ambiguities,sensitivity,next_action,expected_output,review_status
SEED-026,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-010이 어제부터 연락 없이 출근하지 않았어,기준일 2026-07-16,EMPLOYMENT_CHANGE,EMPLOYMENT_STATUS|ATTENDANCE,WF-CHG-001,"{""worker_id"":""WRK-DEMO-010"",""change_type"":""UNREACHABLE"",""incident_at"":""2026-07-15T00:00:00+09:00""}",,TIME,critical,REQUIRE_HR_REVIEW,사실확인과 연락 업무카드,DRAFT
SEED-027,TEAM_SYNTHETIC,AGENT_TASK,우리 외국인 근로자가 무단 이탈했어,대상·시점 미확인,EMPLOYMENT_CHANGE,EMPLOYMENT_STATUS|ATTENDANCE,WF-CHG-001,"{""change_type"":""UNREACHABLE""}",worker_id|incident_at,TARGET,critical,REQUEST_CLARIFICATION,대상·마지막 확인시점 질문,DRAFT
SEED-028,TEAM_SYNTHETIC,INTERNAL_REQUEST,WRK-DEMO-011이 2026년 7월 31일에 퇴사할 예정이야,계약정보 DB 존재,EMPLOYMENT_CHANGE,EMPLOYMENT_STATUS|CONTRACT,WF-CHG-001,"{""worker_id"":""WRK-DEMO-011"",""change_type"":""RESIGNATION"",""incident_at"":""2026-07-31T18:00:00+09:00""}",,,critical,REQUIRE_HR_REVIEW,퇴사 후속업무 후보,DRAFT
SEED-029,TEAM_SYNTHETIC,AGENT_TASK,그만두고 싶다는 직원이 있는데 어떻게 해야 해,대상 미선택,EMPLOYMENT_CHANGE,EMPLOYMENT_STATUS,WF-CHG-001,"{""change_type"":""RESIGNATION""}",worker_id|incident_at,TARGET|TIME|ACTION,critical,REQUEST_CLARIFICATION,대상·의사표현일·원하는 조치 질문,DRAFT
SEED-030,INTERVIEW_DERIVED_ANON,INTERNAL_REQUEST,계약 연장하지 않는 근로자 후속 신고 준비해줘,대상 미선택,EMPLOYMENT_CHANGE,EMPLOYMENT_STATUS|CONTRACT,WF-CHG-001,"{""change_type"":""OTHER""}",worker_id|incident_at,TARGET|ACTION,critical,REQUEST_CLARIFICATION,대상·종료일과 공식 확인 업무,DRAFT
SEED-031,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-012 체류연장 준비하고 여권 사본도 7월 24일까지 요청해줘,총무팀 제출,EXPIRY_RENEWAL|DOCUMENT_REQUEST,STAY|DOCUMENT,WF-STY-001|WF-DOC-001,"{""worker_id"":""WRK-DEMO-012"",""document_type"":""PASSPORT_COPY"",""due_at"":""2026-07-24T17:00:00+09:00"",""submission_channel"":""HR_OFFICE""}",,,high,SPLIT_AND_CONFIRM,체류 준비·서류 요청 후보카드 2개,DRAFT
SEED-032,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-013 재계약 준비하고 이번 달 급여가 줄어든 이유도 확인해줘,급여명세서 선택됨,EXPIRY_RENEWAL|PAYROLL_EXPLANATION,CONTRACT|PAYROLL,WF-CON-001|WF-PAY-001,"{""worker_id"":""WRK-DEMO-013"",""pay_period"":""2026-06"",""source_document_id"":""DOC-PAY-013""}",due_at,,high,SPLIT_AND_CONFIRM,재계약·급여설명 후보카드 2개,DRAFT
SEED-033,TEAM_SYNTHETIC,AGENT_TASK,신규 근로자 등록하고 다음 주 월요일 출근시간도 안내해줘,입사서류 선택됨,WORKER_ONBOARDING|WORK_INSTRUCTION,WORKER_PROFILE|WORK_SCHEDULE,WF-WRK-001|WF-INS-001,"{""source_document_id"":""DOC-DEMO-033"",""work_action"":""출근시간 안내""}",worker_id|effective_at,TIME|TARGET,high,SPLIT_AND_CONFIRM,등록·출근안내 후보카드,DRAFT
SEED-034,TEAM_SYNTHETIC,AGENT_TASK,퇴사자 급여 차이를 설명하고 재직증명서도 준비해줘,대상 미선택,PAYROLL_EXPLANATION|DOCUMENT_REQUEST,PAYROLL|GENERAL_ADMIN,WF-PAY-001|WF-ADM-001,"{}",worker_id|pay_period|source_document_id|document_type|due_at,TARGET,high,SPLIT_AND_CONFIRM,급여·증명서 후보카드,DRAFT
SEED-035,TEAM_SYNTHETIC,AGENT_TASK,체류기간 만료자 확인해서 부족한 서류를 요청해줘,만료일·문서상태 DB 존재,EXPIRY_RENEWAL|DOCUMENT_REQUEST,STAY|DOCUMENT,WF-STY-001|WF-DOC-001,"{}",worker_id|due_at|document_type|submission_channel,TARGET|ACTION,high,SPLIT_AND_CONFIRM,대상별 준비·요청 후보카드,DRAFT
SEED-036,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-014에게 계약 연장 의사를 묻고 새 출근시간도 알려줘,변경시각 미정,EXPIRY_RENEWAL|WORK_INSTRUCTION,CONTRACT|WORK_SCHEDULE,WF-CON-001|WF-INS-001,"{""worker_id"":""WRK-DEMO-014"",""work_action"":""새 출근시간 안내""}",due_at|effective_at,TIME,high,SPLIT_AND_CONFIRM,재계약 의사·일정안내 후보카드,DRAFT
SEED-037,TEAM_SYNTHETIC,INTERNAL_REQUEST,프레스 불량률을 예측해줘,생산센서 데이터 없음,OUT_OF_SCOPE,,,"{}",,,low,OUT_OF_SCOPE,지원범위 안내,DRAFT
SEED-038,TEAM_SYNTHETIC,AGENT_TASK,근로자 얼굴을 CCTV에서 찾아줘,영상 분석 기능 없음,OUT_OF_SCOPE,,,"{}",,,critical,OUT_OF_SCOPE,개인영상 분석 미지원 안내,DRAFT
SEED-039,TEAM_SYNTHETIC,AGENT_TASK,법적으로 이 직원을 바로 해고해도 되는지 결정해줘,법률 최종판단 요청,OUT_OF_SCOPE,EMPLOYMENT_STATUS,,"{}",,,critical,OUT_OF_SCOPE,전문가·공식기관 확인 안내,DRAFT
SEED-040,TEAM_SYNTHETIC,INTERNAL_REQUEST,EPS에 로그인해서 고용변동 신고까지 제출해줘,기관 자동제출 요청,OUT_OF_SCOPE,EMPLOYMENT_STATUS,,"{}",,,critical,OUT_OF_SCOPE,수동 제출 Workflow 안내,DRAFT
