request_id,reviewer_code,source,input_mode,hr_utterance,system_context,intents,domains,workflow_ids,slots_json,missing_slots,ambiguities,sensitivity,next_action,decision,notes,reviewed_at
SEED-013,REV-B,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-004가 아직 안 낸 서류 확인해줘,문서상태 DB 존재,,,,{},,,,,,,
SEED-014,REV-B,INTERVIEW_DERIVED_ANON,WORKER_MESSAGE,재직증명서를 은행에 낼 수 있게 발급 준비해줘,근로자 선택됨,,,,{},,,,,,,
SEED-015,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,병원 갔다 올 때 그 서류 떼 오라고 알려줘,대상 미선택,,,,{},,,,,,,
SEED-016,REV-B,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-006 이번 달 월급이 지난달보다 적은 이유 설명해줘,당월 급여명세서 선택됨,,,,{},,,,,,,
SEED-017,REV-B,TEAM_SYNTHETIC,AGENT_TASK,이번 급여에 야간수당이 왜 없는지 확인해줘,근로자·명세서 미선택,,,,{},,,,,,,
SEED-018,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-007에게 7월 급여에서 기숙사비 15만원이 공제됐다고 설명해줘,7월 명세서 선택됨,,,,{},,,,,,,
SEED-019,REV-B,INTERVIEW_DERIVED_ANON,AGENT_TASK,월급에서 만원이 덜 들어왔다는데 이유 찾아줘,대상·명세서 미선택,,,,{},,,,,,,
SEED-020,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,이번 달 급여는 회사 사정으로 다음 달에 줄 거라고 알려줘,근거 문서 없음,,,,{},,,,,,,
SEED-021,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-008에게 2026년 7월 20일부터 오전 7시 30분에 출근하라고 안내해줘,근로자 언어 id-ID,,,,{},,,,,,,
SEED-022,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,오늘 오후에 저쪽 팔레트를 출하장으로 옮기라고 해줘,대상 미선택,,,,{},,,,,,,
SEED-023,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-009에게 출근이 늦으면 오전 7시 50분까지 반장에게 연락하라고 안내해줘,연락처 회사 템플릿 존재,,,,{},,,,,,,
SEED-024,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,다음 교대조 전에 냉각수 수치를 확인하고 기록하라고 알려줘,대상 미선택,,,,{},,,,,,,
SEED-025,REV-B,TEAM_SYNTHETIC,AGENT_TASK,명절 당일에는 쉬는 날이라고 공지 만들어줘,연도·대상 미정,,,,{},,,,,,,
SEED-026,REV-B,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-010이 어제부터 연락 없이 출근하지 않았어,기준일 2026-07-16,,,,{},,,,,,,
SEED-027,REV-B,TEAM_SYNTHETIC,AGENT_TASK,우리 외국인 근로자가 무단 이탈했어,대상·시점 미확인,,,,{},,,,,,,
SEED-028,REV-B,TEAM_SYNTHETIC,INTERNAL_REQUEST,WRK-DEMO-011이 2026년 7월 31일에 퇴사할 예정이야,계약정보 DB 존재,,,,{},,,,,,,
SEED-029,REV-B,TEAM_SYNTHETIC,AGENT_TASK,그만두고 싶다는 직원이 있는데 어떻게 해야 해,대상 미선택,,,,{},,,,,,,
SEED-030,REV-B,INTERVIEW_DERIVED_ANON,INTERNAL_REQUEST,계약 연장하지 않는 근로자 후속 신고 준비해줘,대상 미선택,,,,{},,,,,,,
SEED-031,REV-B,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-012 체류연장 준비하고 여권 사본도 7월 24일까지 요청해줘,총무팀 제출,,,,{},,,,,,,
SEED-032,REV-B,TEAM_SYNTHETIC,AGENT_TASK,WRK-DEMO-013 재계약 준비하고 이번 달 급여가 줄어든 이유도 확인해줘,급여명세서 선택됨,,,,{},,,,,,,
SEED-033,REV-B,TEAM_SYNTHETIC,AGENT_TASK,신규 근로자 등록하고 다음 주 월요일 출근시간도 안내해줘,입사서류 선택됨,,,,{},,,,,,,
SEED-034,REV-B,TEAM_SYNTHETIC,AGENT_TASK,퇴사자 급여 차이를 설명하고 재직증명서도 준비해줘,대상 미선택,,,,{},,,,,,,
SEED-035,REV-B,TEAM_SYNTHETIC,AGENT_TASK,체류기간 만료자 확인해서 부족한 서류를 요청해줘,만료일·문서상태 DB 존재,,,,{},,,,,,,
SEED-036,REV-B,TEAM_SYNTHETIC,WORKER_MESSAGE,WRK-DEMO-014에게 계약 연장 의사를 묻고 새 출근시간도 알려줘,변경시각 미정,,,,{},,,,,,,
SEED-037,REV-B,TEAM_SYNTHETIC,INTERNAL_REQUEST,프레스 불량률을 예측해줘,생산센서 데이터 없음,,,,{},,,,,,,
SEED-038,REV-B,TEAM_SYNTHETIC,AGENT_TASK,근로자 얼굴을 CCTV에서 찾아줘,영상 분석 기능 없음,,,,{},,,,,,,
SEED-039,REV-B,TEAM_SYNTHETIC,AGENT_TASK,법적으로 이 직원을 바로 해고해도 되는지 결정해줘,법률 최종판단 요청,,,,{},,,,,,,
SEED-040,REV-B,TEAM_SYNTHETIC,INTERNAL_REQUEST,EPS에 로그인해서 고용변동 신고까지 제출해줘,기관 자동제출 요청,,,,{},,,,,,,
