"review_case_id","source_record_id","review_priority","boundary_flags","hr_input","current_intents_json","reviewer_code","decision","proposed_intents_json","review_note"
"INT-RVW-0270","270","HIGH","PAYROLL_ACCOUNT","WRK-106님께 통장사본 재발급받아 제출 부탁드립니다","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""통장사본 재발급받아 제출 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0272","272","HIGH","PAYROLL_ACCOUNT","WRK-328 급여계좌 변경 후 이체 확인 부탁드려","[{""intent"":""PAYROLL_EXPLANATION"",""evidence"":""급여계좌 변경 후 이체 확인""}]","A","KEEP","",""
"INT-RVW-0282","282","HIGH","EXTERNAL_EXECUTION","WRK-328 고용보험 최초 취득신고 등록","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""고용보험 최초 취득신고 등록""}]","A","CHANGE","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""고용보험 최초 취득""}]","최초 고용보험 취득 업무이므로 WORKER_ONBOARDING은 유지함. 신고 등록은 외부 실행 표현이므로 evidence에서 제외하며 실제 신고는 HR 담당자가 수행해야 함."
"INT-RVW-0283","283","HIGH","PAYROLL_ACCOUNT","업로드된 계약서 기준 WRK-439님 급여계좌 최초 등록 부탁드립니다","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여계좌 최초 등록 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0291","291","HIGH","EXTERNAL_EXECUTION","WRK-217님 무단결근 나흘째, 연락 안돼서 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단결근 나흘째, 연락 안돼서 신고 검토""}]","A","KEEP","",""
"INT-RVW-0295","295","HIGH","EXTERNAL_EXECUTION","WRK-651님 무단이탈 의심, 소재 파악 및 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단이탈 의심, 소재 파악 및 신고 검토""}]","A","KEEP","",""
"INT-RVW-0297","297","HIGH","EXTERNAL_EXECUTION","WRK-873님 육아휴직 연장 신청 접수 확인 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""육아휴직 연장 신청 접수 확인""}]","A","KEEP","",""
"INT-RVW-0300","300","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-106 병가 신청서 접수 및 상태 반영","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""병가 신청서 접수 및 상태 반영""}]","A","KEEP","",""
"INT-RVW-0307","307","HIGH","EXTERNAL_EXECUTION","WRK-873님 고용허가서 연장 신청 진행 부탁드립니다","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""고용허가서 연장 신청 진행 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0318","318","HIGH","EXTERNAL_EXECUTION|LONG_EVIDENCE","WRK-984님 비자 만료 임박, 출입국사무소 방문 일정 조율","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""비자 만료 임박, 출입국사무소 방문 일정 조율""}]","A","KEEP","",""
"INT-RVW-0319","319","HIGH","EXTERNAL_EXECUTION","WRK-095 체류기간 연장허가 신청 접수 확인해줘","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""체류기간 연장허가 신청 접수 확인해줘""}]","A","KEEP","",""
"INT-RVW-0361","361","HIGH","PAYROLL_ACCOUNT","wrk-217 통장사본 하나만 다시 받아줘","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""통장사본 하나만 다시 받아줘""}]","A","KEEP","",""
"INT-RVW-0387","387","HIGH","EXTERNAL_EXECUTION","WRK-328 산재보험 최초 취득신고 처리 부탁드립니다","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""산재보험 최초 취득신고 처리""}]","A","CHANGE","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""산재보험 최초 취득""}]","최초 산재보험 취득 업무이므로 WORKER_ONBOARDING은 유지함. 취득신고 처리는 외부 실행 표현이므로 evidence에서 제외하며 실제 신고는 HR 담당자가 수행해야 함."
"INT-RVW-0392","392","HIGH","PAYROLL_ACCOUNT","업로드된 계약서 참고하여 WRK-873님 급여계좌 신규 등록해주세요","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여계좌 신규 등록""}]","A","KEEP","",""
"INT-RVW-0401","401","HIGH","EXTERNAL_EXECUTION","WRK-217님 무단결근 3일째, 연락두절 상태 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단결근 3일째, 연락두절 상태 신고 검토""}]","A","KEEP","",""
"INT-RVW-0405","405","HIGH","EXTERNAL_EXECUTION","WRK-651님 연락 안된지 나흘째, 무단이탈 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락 안된지 나흘째, 무단이탈 신고 검토""}]","A","KEEP","",""
"INT-RVW-0406","406","HIGH","EXTERNAL_EXECUTION","WRK-762 사업장 변경 신청 서류 접수 확인해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경 신청 서류 접수 확인해줘""}]","A","KEEP","",""
"INT-RVW-0408","408","HIGH","EXTERNAL_EXECUTION","WRK-984 육아휴직 신청서 접수 및 반영해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""육아휴직 신청서 접수 및 반영해줘""}]","A","KEEP","",""
"INT-RVW-0409","409","HIGH","EXTERNAL_EXECUTION","WRK-095님 연락두절 일주일째, 실종 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락두절 일주일째, 실종 신고 검토""}]","A","KEEP","",""
"INT-RVW-0411","411","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","wrk-217 병가 신청서 접수해서 상태 반영해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""병가 신청서 접수해서 상태 반영해줘""}]","A","KEEP","",""
"INT-RVW-0414","414","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-540님 장기 병가 신청 접수 및 재직상태 변경","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""장기 병가 신청 접수 및 재직상태 변경""}]","A","KEEP","",""
"INT-RVW-0425","425","HIGH","EXTERNAL_EXECUTION","회사 홈페이지 디자인 좀 리뉴얼해줘","[{""intent"":""OUT_OF_SCOPE"",""evidence"":null}]","A","KEEP","",""
"INT-RVW-0467","467","HIGH","PAYROLL_ACCOUNT","wrk-217 통장사본이랑 여권사본 같이 받아줘","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""통장사본이랑 여권사본 같이 받아줘""}]","A","KEEP","",""
"INT-RVW-0479","479","HIGH","PAYROLL_ACCOUNT","WRK-439 급여계좌 오류로 인한 미입금 확인해줘","[{""intent"":""PAYROLL_EXPLANATION"",""evidence"":""급여계좌 오류로 인한 미입금 확인해줘""}]","A","KEEP","",""
"INT-RVW-0482","482","HIGH","EXTERNAL_EXECUTION","WRK-762 신입 근로자 고용보험 최초 취득신고","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""고용보험 최초 취득신고""}]","A","CHANGE","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""고용보험 최초 취득""}]","최초 보험 취득은 WORKER_ONBOARDING으로 유지하되, 외부기관 신고 실행 표현은 evidence에서 제외함."
"INT-RVW-0489","489","HIGH","PAYROLL_ACCOUNT","첨부한 계약서 기반 WRK-439 급여계좌 신규 등록 진행","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여계좌 신규 등록 진행""}]","A","KEEP","",""
"INT-RVW-0491","491","HIGH","EXTERNAL_EXECUTION","WRK-651님 무단결근 이틀째, 연락 시도 후 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단결근 이틀째, 연락 시도 후 신고 검토""}]","A","KEEP","",""
"INT-RVW-0493","493","HIGH","EXTERNAL_EXECUTION","WRK-873님 사업장 이동 신청 접수 확인 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 이동 신청 접수 확인""}]","A","KEEP","",""
"INT-RVW-0495","495","HIGH","EXTERNAL_EXECUTION","WRK-095님 잠적 상태 지속, 무단이탈 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""잠적 상태 지속, 무단이탈 신고 검토""}]","A","KEEP","",""
"INT-RVW-0498","498","HIGH","EXTERNAL_EXECUTION","WRK-328님 육아휴직 신청 접수 및 반영 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""육아휴직 신청 접수 및 반영 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0499","499","HIGH","EXTERNAL_EXECUTION","WRK-439 연락두절 상태로 실종신고 검토 필요","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락두절 상태로 실종신고 검토 필요""}]","A","KEEP","",""
"INT-RVW-0504","504","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-984님 결혼휴가 신청 접수 확인 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""결혼휴가 신청 접수 확인""}]","A","NEEDS_DISCUSSION","","일반 연차·병가·결혼휴가를 EMPLOYMENT_CHANGE로 볼지, 일정/근태 업무로 분리할지 라벨 규칙 합의가 필요함."
"INT-RVW-0511","511","HIGH","COMPLETED_STATUS","WRK-651 근로계약 재계약 협의 이번주까지 완료","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""근로계약 재계약 협의 이번주까지 완료""}]","A","KEEP","",""
"INT-RVW-0519","519","HIGH","EXTERNAL_EXECUTION","WRK-439 외국인등록증 재발급 및 갱신 신청 진행","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""외국인등록증 재발급 및 갱신 신청 진행""}]","A","CHANGE","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""외국인등록증 재발급 및 갱신""}]","지원 Intent는 유지하고, 기관 신고·신청·접수 실행 표현 또는 다른 Intent 문구를 evidence에서 분리함."
"INT-RVW-0523","523","HIGH","EXTERNAL_EXECUTION","WRK-873 체류기간 연장 신청서 접수 여부 확인해줘","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""체류기간 연장 신청서 접수 여부 확인해줘""}]","A","CHANGE","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""체류기간 연장""},{""intent"":""DOCUMENT_REQUEST"",""evidence"":""신청서 접수 여부 확인해줘""}]","신청서라는 구체 서류의 접수 상태 확인이 명시되어 DOCUMENT_REQUEST를 추가함."
"INT-RVW-0528","528","HIGH","COMPLETED_STATUS","WRK-328님 고용허가기간 만료 전 연장 신청 완료 부탁드립니다","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""고용허가기간 만료 전 연장 신청 완료""}]","A","KEEP","",""
"INT-RVW-0529","529","HIGH","EXTERNAL_EXECUTION|LONG_EVIDENCE","WRK-439 외국인등록증 만료 다가와서 미리 갱신 신청해줘","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""외국인등록증 만료 다가와서 미리 갱신 신청해줘""}]","A","CHANGE","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""외국인등록증 만료 다가와서 미리 갱신""}]","지원 Intent는 유지하고, 기관 신고·신청·접수 실행 표현 또는 다른 Intent 문구를 evidence에서 분리함."
"INT-RVW-0535","535","HIGH","EXTERNAL_EXECUTION","WRK-095 체류연장 허가 신청 진행상황 확인해줘","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""체류연장 허가 신청 진행상황 확인해줘""}]","A","KEEP","",""
"INT-RVW-0565","565","HIGH","PAYROLL_ACCOUNT","WRK-095님 통장사본과 신분증 함께 제출받아주세요","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""통장사본과 신분증 함께 제출받아주세요""}]","A","KEEP","",""
"INT-RVW-0578","578","HIGH","PAYROLL_ACCOUNT","WRK-328님 통장사본 재요청드립니다","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""통장사본 재요청드립니다""}]","A","KEEP","",""
"INT-RVW-0594","594","HIGH","PAYROLL_ACCOUNT","WRK-984님 이번달 급여이체 계좌 변경 확인 부탁드립니다","[{""intent"":""PAYROLL_EXPLANATION"",""evidence"":""급여이체 계좌 변경 확인""}]","A","CHANGE","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여이체 계좌 변경 확인""}]","급여 금액·공제 설명이 아니라 계좌 또는 기본정보의 최초 등록·변경 업무이므로 WORKER_ONBOARDING 경계로 수정함."
"INT-RVW-0605","605","HIGH","PAYROLL_ACCOUNT","첨부한 계약서 기반 WRK-095님 급여계좌 초기 등록 부탁드립니다","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여계좌 초기 등록 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0608","608","HIGH","EXTERNAL_EXECUTION","WRK-328님 건강보험 최초 취득신고 부탁드립니다","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""건강보험 최초 취득신고 부탁드립니다""}]","A","CHANGE","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""건강보험 최초 취득""}]","최초 보험 취득은 WORKER_ONBOARDING으로 유지하되, 외부기관 신고 실행 표현은 evidence에서 제외함."
"INT-RVW-0616","616","HIGH","PAYROLL_ACCOUNT","업로드된 계약서로 WRK-106님 급여계좌 및 프로필 최초 등록해줘","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여계좌 및 프로필 최초 등록해줘""}]","A","KEEP","",""
"INT-RVW-0619","619","HIGH","EXTERNAL_EXECUTION","WRK-439 신규 입사자 국민연금 최초 취득신고 처리","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""국민연금 최초 취득신고 처리""}]","A","CHANGE","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""국민연금 최초 취득""}]","최초 보험 취득은 WORKER_ONBOARDING으로 유지하되, 외부기관 신고 실행 표현은 evidence에서 제외함."
"INT-RVW-0621","621","HIGH","EXTERNAL_EXECUTION","WRK-651님 무단결근 이틀째, 연락 두절되어 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단결근 이틀째, 연락 두절되어 신고 검토""}]","A","KEEP","",""
"INT-RVW-0623","623","HIGH","EXTERNAL_EXECUTION","WRK-873님 사업장 변경 접수 상태 확인 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경 접수 상태 확인""}]","A","KEEP","",""
"INT-RVW-0625","625","HIGH","EXTERNAL_EXECUTION","WRK-095님 무단이탈 의심되어 소재 파악 및 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단이탈 의심되어 소재 파악 및 신고 검토""}]","A","KEEP","",""
"INT-RVW-0627","627","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","wrk-217 병가 낸다는데 신청서 접수해서 반영해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""병가 낸다는데 신청서 접수해서 반영해줘""}]","A","NEEDS_DISCUSSION","","일반 연차·병가·결혼휴가를 EMPLOYMENT_CHANGE로 볼지, 일정/근태 업무로 분리할지 라벨 규칙 합의가 필요함."
"INT-RVW-0632","632","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-762님 출산휴가 신청 접수 및 반영 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""출산휴가 신청 접수 및 반영 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0633","633","HIGH","EXTERNAL_EXECUTION","WRK-873 연락두절 나흘째, 실종신고 검토 필요해","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락두절 나흘째, 실종신고 검토 필요해""}]","A","KEEP","",""
"INT-RVW-0634","634","HIGH","EXTERNAL_EXECUTION","WRK-984님 사업장 변경 신청서 접수 확인 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경 신청서 접수 확인""}]","A","CHANGE","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경""},{""intent"":""DOCUMENT_REQUEST"",""evidence"":""신청서 접수 확인""}]","신청서라는 구체 서류의 접수 상태 확인이 명시되어 DOCUMENT_REQUEST를 추가함."
"INT-RVW-0636","636","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-106님 결혼휴가 신청 접수 및 반영 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""결혼휴가 신청 접수 및 반영 부탁드립니다""}]","A","NEEDS_DISCUSSION","","일반 연차·병가·결혼휴가를 EMPLOYMENT_CHANGE로 볼지, 일정/근태 업무로 분리할지 라벨 규칙 합의가 필요함."
"INT-RVW-0637","637","HIGH","EXTERNAL_EXECUTION","WRK-217 육아휴직 연장 신청 접수 확인해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""육아휴직 연장 신청 접수 확인해줘""}]","A","KEEP","",""
"INT-RVW-0697","697","HIGH","EXTERNAL_EXECUTION","WRK-439 재직증명서 발급받아 제출해달라고 전해줘","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""재직증명서 발급받아 제출해달라고 전해줘""}]","A","KEEP","",""
"INT-RVW-0701","701","HIGH","PAYROLL_ACCOUNT","WRK-873 통장사본 최신본 받아서 등록해줘","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""통장사본 최신본 받아서""}]","A","KEEP","",""
"INT-RVW-0705","705","HIGH","PAYROLL_ACCOUNT","wrk-217 여권 사진면이랑 통장사본 같이 받아줘","[{""intent"":""DOCUMENT_REQUEST"",""evidence"":""여권 사진면이랑 통장사본 같이 받아줘""}]","A","KEEP","",""
"INT-RVW-0721","721","HIGH","PAYROLL_ACCOUNT|LONG_EVIDENCE","첨부한 계약서 기반 WRK-873님 신규 등록 및 급여계좌 초기 등록 부탁드립니다","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""신규 등록 및 급여계좌 초기 등록 부탁드립니다""}]","A","KEEP","",""
"INT-RVW-0722","722","HIGH","EXTERNAL_EXECUTION","WRK-984 산재보험 최초 취득신고 처리","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""산재보험 최초 취득신고 처리""}]","A","CHANGE","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""산재보험 최초 취득""}]","최초 보험 취득은 WORKER_ONBOARDING으로 유지하되, 외부기관 신고 실행 표현은 evidence에서 제외함."
"INT-RVW-0734","734","HIGH","PAYROLL_ACCOUNT","업로드한 계약서로 WRK-106님 급여계좌 신규 등록해주세요","[{""intent"":""WORKER_ONBOARDING"",""evidence"":""급여계좌 신규 등록""}]","A","KEEP","",""
"INT-RVW-0736","736","HIGH","EXTERNAL_EXECUTION","WRK-328님 무단결근 이틀째, 연락두절 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단결근 이틀째, 연락두절 신고 검토""}]","A","KEEP","",""
"INT-RVW-0738","738","HIGH","EXTERNAL_EXECUTION","WRK-540님 사업장 변경 신청 접수여부 확인 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""사업장 변경 신청 접수여부 확인""}]","A","KEEP","",""
"INT-RVW-0740","740","HIGH","EXTERNAL_EXECUTION","WRK-762님 연락 두절 상태 지속, 무단이탈 신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락 두절 상태 지속, 무단이탈 신고 검토""}]","A","KEEP","",""
"INT-RVW-0743","743","HIGH","EXTERNAL_EXECUTION","WRK-095 육아휴직 신청 접수 반영해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""육아휴직 신청 접수 반영해줘""}]","A","KEEP","",""
"INT-RVW-0744","744","HIGH","EXTERNAL_EXECUTION","WRK-106님 연락두절 일주일째, 실종신고 검토 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""연락두절 일주일째, 실종신고 검토""}]","A","KEEP","",""
"INT-RVW-0748","748","HIGH","EXTERNAL_EXECUTION|LONG_EVIDENCE","WRK-540님 무단이탈 확인되어 신고 절차 진행 부탁드립니다","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단이탈 확인되어 신고 절차 진행 부탁드립니다""}]","A","CHANGE","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""무단이탈 확인되어""}]","지원 Intent는 유지하고, 기관 신고·신청·접수 실행 표현 또는 다른 Intent 문구를 evidence에서 분리함."
"INT-RVW-0749","749","HIGH","LEAVE_BOUNDARY|EXTERNAL_EXECUTION","WRK-651 결혼으로 인한 장기휴가 신청 접수해줘","[{""intent"":""EMPLOYMENT_CHANGE"",""evidence"":""장기휴가 신청 접수해줘""}]","A","NEEDS_DISCUSSION","","일반 연차·병가·결혼휴가를 EMPLOYMENT_CHANGE로 볼지, 일정/근태 업무로 분리할지 라벨 규칙 합의가 필요함."
"INT-RVW-0756","756","HIGH","COMPLETED_STATUS|LONG_EVIDENCE","WRK-328님 고용허가 갱신 절차 이번주 완료 부탁드립니다","[{""intent"":""EXPIRY_RENEWAL"",""evidence"":""고용허가 갱신 절차 이번주 완료 부탁드립니다""}]","A","KEEP","",""
